id,name,phone,location.address1,location.address2,location.city,location.state,location.country,price,rating,review_count,url
6i7KnRylm4bhPIApDFSVCg,Dave's Hot Chicken,13235369711,970 N Western Ave,,Los Angeles,CA,US,$$,4.5,3132,https://www.yelp.com/biz/daves-hot-chicken-los-angeles?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
qAAoilHU25Qr45FOQlA19g,Kang Ho-dong Baekjeong,12133849678,3465 W 6th St,Ste 20,Los Angeles,CA,US,$$,4.5,4266,https://www.yelp.com/biz/kang-ho-dong-baekjeong-los-angeles-4?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
AIhWsp8yNfKZfaX9d9Yajg,Pasta Sisters,13238705271,3343 W Pico Blvd,,Los Angeles,CA,US,$$,4.5,1479,https://www.yelp.com/biz/pasta-sisters-los-angeles?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
vUe6SGmCpWRbVdmj1ujMMQ,Yeon Uh,12135683548,621 S Western Ave,Ste 208 B,Los Angeles,CA,US,,5,4,https://www.yelp.com/biz/yeon-uh-los-angeles-2?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
H9ZlIqEp930ZRniH6VRp8w,Papa Cristo's,13237372970,2771 W Pico Blvd,,Los Angeles,CA,US,$$,4.5,1911,https://www.yelp.com/biz/papa-cristos-los-angeles-2?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
BEItepse0gBSfkJ4sb_k-g,Hae Ha Heng Thai Bistro,12133882407,301 S Western Ave,Ste 209,Los Angeles,CA,US,$$,4.5,1183,https://www.yelp.com/biz/hae-ha-heng-thai-bistro-los-angeles-6?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
y4X0KfHJ5XWwxMIRukVr1Q,CHD,12133344333,3377 Wilshire Blvd,Ste 104,Los Angeles,CA,US,$$,4.5,50,https://www.yelp.com/biz/chd-los-angeles?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
tW4eYiMzeWtcJS7kLHL54g,Pampas Grill,13239311928,6333 W 3rd St,Ste 618,Los Angeles,CA,US,$$,4,1211,https://www.yelp.com/biz/pampas-grill-los-angeles?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
rr-hXB0ZqXLzUP97yftp0g,Osteria Mamma,13232847060,5732 Melrose Ave,,Los Angeles,CA,US,$$,4,1604,https://www.yelp.com/biz/osteria-mamma-los-angeles?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
HTFByVH44biQsc_R8sEOjg,BCD Tofu House,12133826677,3575 Wilshire Blvd,,Los Angeles,CA,US,$$,4,4254,https://www.yelp.com/biz/bcd-tofu-house-los-angeles?adjust_creative=vSbiFvgkMDv_Pd_MDZ8x3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vSbiFvgkMDv_Pd_MDZ8x3A
